minute,second,time,stage,team,home,player_name,jersey_number,sx,sy,recipient,jersey_number_receiver,ex,ey,dx,dy,length,angle,direction,is_progressive,height,is_cross,is_through,zone_origin,zone_dest,is_complete,passer_pressure,passer_pressure_dist,receiver_pressure,receiver_pressure_dist,bypassed_opponents,risk_measure
6,6,06:06,Final,England,Italy,Declan Rice,4,83.0,39.2,Mason Mount,19,76.7,43.6,6.299999999999997,-4.399999999999999,7.684399781375248,-0.6096598667120816,forward,False,Low Pass,False,False,defensive,middle,True,0,4.885775182068884,0,3.5330610191558987,0,0.20910082634062813
6,7,06:07,Final,England,Italy,Mason Mount,19,76.7,43.6,Harry Kane,9,68.3,39.5,8.400000000000006,4.100000000000001,9.347192091746061,0.4540785230931954,forward,False,Low Pass,False,False,middle,middle,False,0,2.9103780334773646,0,3.411863910721311,1,0.259854076916894
6,7,06:07,Final,Italy,Italy,Jorge Luiz Frello Filho,8,68.4,39.6,Nicolò Barella,18,79.8,51.3,11.399999999999991,11.699999999999996,16.33554406807437,0.798384446317621,forward,True,High Pass,False,False,middle,middle,False,0,3.7992821631249227,0,11.16473560824395,1,0.2702241983499802
7,27,07:27,Final,England,Italy,Jordan Pickford,1,113.0,35.9,Kyle Walker,2,118.8,19.299999999999997,-5.8,16.6,17.584083712266615,1.9069343775804644,backward,False,Ground Pass,False,False,defensive,defensive,True,0,,0,,0,0.24840410409303315
7,28,07:28,Final,England,Italy,Kyle Walker,2,115.4,14.799999999999997,Kieran Trippier,12,102.9,2.299999999999997,12.500000000000002,12.5,17.67766952966369,0.7853981633974483,forward,True,Ground Pass,False,False,defensive,defensive,True,0,7.310148523717702,0,13.271907646976677,0,0.223612579250485
7,30,07:30,Final,England,Italy,Kieran Trippier,12,100.6,2.799999999999997,,0,99.7,2.4000000000000057,0.9000000000000021,0.3999999999999915,0.9848857801796089,0.4182243295792203,lateral,False,Low Pass,False,False,defensive,defensive,False,0,,0,,0,0.2008988243956369
7,32,07:32,Final,England,Italy,Kalvin Phillips,14,97.3,9.299999999999997,Raheem Sterling,10,72.3,9.0,25.000000000000004,0.29999999999999716,25.00179993520467,0.011999424049761166,forward,True,Low Pass,False,False,defensive,middle,True,0,2.853325702906598,0,3.269620588600319,1,0.3048947538762348
7,39,07:39,Final,Italy,Italy,Emerson Palmieri dos Santos,13,69.4,0.1,Giorgio Chiellini,3,53.7,4.6,-15.700000000000003,4.5,16.332176829804414,2.862451951889799,backward,False,Low Pass,False,False,middle,middle,True,0,,0,,0,0.2448212691362007
7,41,07:41,Final,Italy,Italy,Giorgio Chiellini,3,54.3,6.5,Leonardo Bonucci,19,42.2,31.5,-12.099999999999994,25.0,27.774268667239465,2.0215622007057816,backward,False,Ground Pass,False,False,middle,middle,True,0,12.402488728171653,0,19.16774469691897,0,0.23845995026394706
7,44,07:44,Final,Italy,Italy,Leonardo Bonucci,19,43.4,33.5,Giovanni Di Lorenzo,2,54.6,63.4,11.200000000000003,29.9,31.92882710028666,1.2123922254228614,forward,True,Ground Pass,False,False,middle,middle,True,0,13.836384805848903,0,19.62485272501552,0,0.24767849627885394
7,47,07:47,Final,Italy,Italy,Giovanni Di Lorenzo,2,61.2,64.7,Federico Chiesa,14,104.6,74.2,43.39999999999999,9.5,44.42758152319344,0.21549512840573018,forward,True,High Pass,False,False,middle,attacking,True,0,7.6190190816304915,0,28.799203036317195,2,0.3688365545220195
8,22,08:22,Final,England,Italy,Luke Shaw,3,105.9,79.9,Harry Kane,9,90.0,75.1,15.9,4.800000000000001,16.60873264279969,0.2931868965578822,forward,True,Low Pass,False,False,defensive,defensive,True,0,,0,,0,0.24561274480279816
8,25,08:25,Final,England,Italy,Harry Kane,9,90.9,77.4,Raheem Sterling,10,56.6,35.8,34.3,41.6,53.917065943910565,0.8812824153200488,forward,True,High Pass,False,False,defensive,middle,False,1,2.2273515688717502,0,41.36312120933322,2,0.42412570239575614
8,29,08:29,Final,Italy,Italy,Lorenzo Insigne,10,56.7,35.9,Giorgio Chiellini,3,46.4,39.6,-10.300000000000004,3.700000000000003,10.944404963267766,2.796724830808858,backward,False,High Pass,False,False,middle,middle,False,0,8.043866907715978,0,7.659776382660334,0,0.20921641932425233
8,48,08:48,Final,England,Italy,Declan Rice,4,53.2,42.9,Kyle Walker,2,51.2,28.0,2.0,14.899999999999999,15.03362896974646,1.437365673845579,forward,False,Ground Pass,False,False,middle,middle,True,0,,0,,0,0.2411049522668619
8,49,08:49,Final,England,Italy,Kyle Walker,2,47.7,28.799999999999997,Declan Rice,4,55.599999999999994,45.7,-7.8999999999999915,-16.900000000000006,18.655294154743313,-2.0080711549116597,backward,False,Ground Pass,False,False,middle,middle,True,0,3.614321953471693,0,11.994092149411033,0,0.23340224569670942
8,52,08:52,Final,England,Italy,Declan Rice,4,54.099999999999994,52.1,Luke Shaw,3,37.599999999999994,75.3,16.5,-23.2,28.469106062537335,-0.952588487628243,forward,True,Ground Pass,False,False,middle,attacking,True,0,4.0293651104040675,0,17.86317660482615,0,0.2545910856711022
8,54,08:54,Final,England,Italy,Luke Shaw,3,36.8,75.9,Mason Mount,19,34.599999999999994,75.9,2.200000000000003,0.0,2.200000000000003,0.0,forward,False,Low Pass,False,False,attacking,attacking,False,0,2.9429622196150147,1,1.443084569159435,0,0.2235944541856954
9,14,09:14,Final,England,Italy,Luke Shaw,3,28.099999999999994,79.9,Mason Mount,19,14.0,75.3,14.099999999999994,4.6000000000000005,14.831385639919144,0.3153540531500321,forward,True,Low Pass,False,False,attacking,attacking,False,0,7.202877593758547,0,2.6929335774057357,1,0.26978049051835024
9,26,09:26,Final,England,Italy,Luke Shaw,3,21.799999999999997,79.9,Harry Kane,9,22.599999999999994,71.8,-0.7999999999999972,8.1,8.139410298049853,1.6692424860075294,lateral,False,Low Pass,False,False,attacking,attacking,True,0,,0,,0,0.22137437325732653
9,27,09:27,Final,England,Italy,Harry Kane,9,22.599999999999994,72.0,Luke Shaw,3,22.099999999999994,76.6,0.5,-4.6,4.62709412050371,-1.4625257359344406,lateral,False,Ground Pass,False,False,attacking,attacking,True,0,,0,,0,0.21132246815428035
9,28,09:28,Final,England,Italy,Luke Shaw,3,22.099999999999994,76.6,Harry Kane,9,28.299999999999997,74.0,-6.200000000000003,2.6,6.723094525588647,2.744513208364811,backward,False,Ground Pass,False,False,attacking,attacking,True,0,,0,,0,0.21732101615020127
9,30,09:30,Final,England,Italy,Harry Kane,9,29.5,65.8,Kyle Walker,2,40.0,37.8,-10.5,28.000000000000004,29.904013108611363,1.9295669970654687,backward,False,Ground Pass,False,False,attacking,attacking,True,1,2.3684817494939234,0,21.251287562973133,0,0.2909431865500334
9,33,09:33,Final,England,Italy,Kyle Walker,2,36.8,30.1,Kieran Trippier,12,10.200000000000003,20.9,26.599999999999994,9.200000000000003,28.146047679914133,0.3329860366546051,forward,True,Ground Pass,False,True,attacking,attacking,True,0,8.48340092683642,0,10.588561048915155,0,0.25465002848815055
9,35,09:35,Final,England,Italy,Kieran Trippier,12,8.900000000000006,20.9,Raheem Sterling,10,5.700000000000003,37.8,3.200000000000003,-16.9,17.200290695217916,-1.3836626644115644,forward,False,Low Pass,True,False,attacking,attacking,False,0,2.795144916910893,0,5.309352608363722,2,0.3233358900817516
9,37,09:37,Final,Italy,Italy,Marco Verratti,6,13.0,28.1,Jorge Luiz Frello Filho,8,11.0,32.3,-2.0,4.199999999999996,4.6518813398451995,2.015215536695996,backward,False,Ground Pass,False,False,defensive,defensive,True,0,4.994320401832612,0,4.592334428571137,0,0.19912598132209214
9,38,09:38,Final,Italy,Italy,Jorge Luiz Frello Filho,8,11.2,32.2,Ciro Immobile,17,27.2,25.3,16.0,-6.900000000000002,17.424408167854654,-0.4071525209415094,forward,True,Ground Pass,False,False,defensive,defensive,True,1,1.3748011628563328,0,11.314609469773234,0,0.2673484274510176
9,39,09:39,Final,Italy,Italy,Ciro Immobile,17,27.2,25.3,Lorenzo Insigne,10,33.9,7.3,6.699999999999999,-18.0,19.20650931325107,-1.2144631897832554,forward,False,Ground Pass,False,False,defensive,defensive,True,0,6.070748721283103,0,15.486125673727702,0,0.2275115191188688
9,54,09:54,Final,Italy,Italy,Emerson Palmieri dos Santos,13,43.4,2.7,Leonardo Bonucci,19,34.7,30.5,-8.699999999999996,27.8,29.12953827303138,1.8740907794189279,backward,False,Ground Pass,False,False,middle,defensive,True,0,,0,,0,0.2814460649387733
9,59,09:59,Final,Italy,Italy,Leonardo Bonucci,19,35.2,36.7,Marco Verratti,6,47.8,25.7,12.599999999999994,-11.000000000000004,16.726027621644057,-0.71770514070348,forward,True,Ground Pass,False,False,defensive,middle,True,0,,0,,0,0.24594843155103135
10,8,10:08,Final,Italy,Italy,Marco Verratti,6,55.7,26.3,Lorenzo Insigne,10,61.6,13.3,5.899999999999999,-13.0,14.276203977248294,-1.1447485437480083,forward,False,Ground Pass,False,False,middle,middle,True,2,2.042503036765334,0,7.321515702974063,1,0.3377750139689804
10,10,10:10,Final,Italy,Italy,Lorenzo Insigne,10,69.0,13.3,Jorge Luiz Frello Filho,8,66.9,23.4,-2.0999999999999943,10.099999999999998,10.316006979447035,1.7757963027984702,backward,False,Ground Pass,False,False,middle,middle,True,0,4.316091486606732,0,4.644686340831625,0,0.2163130216146566
